id,source,target,type,amount,amount_note,date_range,url,confidence,needs_human_review,matched_text
authored_author_Arjun_Banerjee1_paper_hZ6ra8ApLP,author_Arjun_Banerjee1,paper_hZ6ra8ApLP,authored,,,,,,,
authored_author_Ethan_Tam1_paper_hZ6ra8ApLP,author_Ethan_Tam1,paper_hZ6ra8ApLP,authored,,,,,,,
authored_author_Camille_Dang1_paper_hZ6ra8ApLP,author_Camille_Dang1,paper_hZ6ra8ApLP,authored,,,,,,,
authored_author_David_Martinez3_paper_hZ6ra8ApLP,author_David_Martinez3,paper_hZ6ra8ApLP,authored,,,,,,,
authored_author_Azmine_Toushik_Wasi1_paper_x3yCeCEIb3,author_Azmine_Toushik_Wasi1,paper_x3yCeCEIb3,authored,,,,,,,
authored_author_Azmine_Toushik_Wasi1_paper_oPSMbYw7zx,author_Azmine_Toushik_Wasi1,paper_oPSMbYw7zx,authored,,,,,,,
authored_author_Azmine_Toushik_Wasi1_paper_AFRn7DfXXE,author_Azmine_Toushik_Wasi1,paper_AFRn7DfXXE,authored,,,,,,,
authored_author_Mst_Rafia_Islam1_paper_x3yCeCEIb3,author_Mst_Rafia_Islam1,paper_x3yCeCEIb3,authored,,,,,,,
authored_author_Mst_Rafia_Islam1_paper_AFRn7DfXXE,author_Mst_Rafia_Islam1,paper_AFRn7DfXXE,authored,,,,,,,
authored_author_Rahatun_Nesa_Priti1_paper_x3yCeCEIb3,author_Rahatun_Nesa_Priti1,paper_x3yCeCEIb3,authored,,,,,,,
authored_author_Md__Iqramul_Hoque1_paper_oPSMbYw7zx,author_Md__Iqramul_Hoque1,paper_oPSMbYw7zx,authored,,,,,,,
authored_author_Muhammad_Haris_Khan4_paper_Iik48LI1xX,author_Muhammad_Haris_Khan4,paper_Iik48LI1xX,authored,,,,,,,
authored_author_Meiyin_Meng1_paper_SoGnOiTGAH,author_Meiyin_Meng1,paper_SoGnOiTGAH,authored,,,,,,,
authored_author_ZAIXI_ZHANG2_paper_SoGnOiTGAH,author_ZAIXI_ZHANG2,paper_SoGnOiTGAH,authored,,,,,,,
authored_author_ZAIXI_ZHANG2_paper_FRNHz65p25,author_ZAIXI_ZHANG2,paper_FRNHz65p25,authored,,,,,,,
